ID,Gene Symbol
17071208,LAPTM4B
16984182,LOC105374731
16792998,TXNDC16
16887810,ZAK
17004455,
16989863,SNORA74A
17085359,FAM27C; FAM27B
16664978,ACOT11
16711125,IDI1
16688214,LOC105378775
16705961,DDIT4
16830957,ARHGEF15
16982931,UBE2QL1
16785869,SRSF5
16667456,PTBP2
16698556,SLC41A1
16939592,TRAK1
17118726,
16675889,TIMM17A
16688339,WLS
16676263,ZBED6; ZC3H11A
16908206,
16997519,ARSB
16953277,
16661443,FAM76A
16878397,LOC105374378
16917892,NAPB
17012721,EYA4
16833454,GGNBP2
16941344,ALAS1
17047073,EIF4H
17122360,
16874811,ETFB
17071119,PTDSS1
16779766,KLF12
16859773,MPV17L2
16907696,PLEKHM3
16896256,MEMO1; DPY30
17084048,LOC105375993
17068462,IKBKB
16739606,
16700009,SDE2
16710906,ZNF511; PRAP1; ZNF511-PRAP1
16688210,MIR3671
16928634,
16696548,RC3H1
17103067,CDK16
16973914,STX18-IT1
17012632,ENPP1
17061296,
16839796,
16757110,LOC102723619
17063005,PLXNA4
16748095,KLRG1
17012100,PLN
16845222,EZH1
16728778,P2RY2
16706128,CHCHD1
16974280,WDR1
16996249,LOC105378974
16770915,WSB2
16950238,CRBN
16938583,STT3B
17088995,MIR181A2
16959644,NME9
16714343,
17126140,
17063047,CHCHD3
17113340,GNG5P2
16830575,SNORD10; EIF4A1
16919703,PLTP
16905355,ATP5G3
16698023,UBE2T
16705976,MCU
16782331,MHRT
16751993,HNRNPA1
16803217,
16664272,UQCRH
16794241,
17125288,
16921472,IGHV1OR21-1
16882416,MRPL35
16673241,LRRC52
17021738,BACH2
16682771,PLA2G2A
17022736,TUBE1
16714699,RHOBTB1
16812933,LOC102724465
16752624,COQ10A
17014324,MRPL18
16867784,C3
16706065,
16996234,PLPP1
16993528,LINC00847
16978873,ETNPPL
17114007,APLN
16849920,LOC105376789
17015972,NHLRC1
16791849,SPTSSA
17094761,KLF9
17113031,RAB9B
17106183,TMEM164
16924537,ATP5J
17089863,ENDOG
16872039,ECH1
16928967,MTFP1
16972912,SLC25A4
16852226,RNF165
16790673,CDH24
16928861,UQCR10
16914563,LOC105372637
16866946,TIMM13
16887147,XIRP2
17091695,TUBB4B
16805594,MEF2A
16836977,TACO1
16841083,PIK3R5
16692553,
16886491,TNFAIP6
16732026,
16832268,MAP2K3
16818877,
16677391,PROX1
16978296,LOC285556
16949988,
16934340,
16863460,PPP5C
16967631,SLC4A4
17125954,
16919044,RBL1
16724849,SMTNL1
16739796,RCOR2
16721807,SNORA23
16919408,OSER1
16953021,
16696531,
16679546,DESI2
17109927,DMD
16987087,MEF2C-AS1
17100507,PNPLA7
17117416,
17044602,CREB5
16932081,
16780453,
16946393,RASA2
17013024,CCDC28A
16823884,PRM1
16850865,ANKRD12
16819264,MT1X
16662664,MANEAL
16684429,FABP3
16840961,LOC100128288
16808663,
16786367,COQ6
16676258,ZBED6
16709512,FAM160B1
16670454,CA14
16748556,
16939863,TCAIM
17003401,LOC202181
17057054,
16701775,IDI2-AS1
16846546,SAMD14
16742945,CREBZF
16980679,
16769564,
16852241,KATNAL2
17084669,RUSC2
16957565,
17057433,TBRG4
16967257,EPHA5-AS1
16813267,
16909317,
17114643,ATP11C
17048223,CDK14; CLDN12
17106913,BCORL1
16924506,LOC105372752
16691177,TRIM33
16676643,MAPKAPK2
17106822,OCRL
17121878,
17096931,TMEM245
16758671,TCTN2
16911804,SLC24A3
17101465,MSL3
16895979,
16787430,CALM1
16780640,LOC105370333
16812669,FSD2
16855467,
17047795,CD36
16976362,CENPC
16717606,NDUFB8
16861907,MRPS12
16839769,P2RX5; TAX1BP3; P2RX5-TAX1BP3
16688535,
17051601,CPA1
16765404,CALCOCO1
16853962,MPPE1
17005089,
16987441,LOC105379091
17006403,DDR1
17083370,PDCD1LG2
17059119,SEMA3C
17071973,
17080160,LOC101927413
17070217,
16707929,LCOR
17045806,ADCY1
17065873,FAM66A; FAM66B
16839976,ANKFY1
16715997,NUTM2B-AS1
17121358,
16723659,
16680017,PERM1
16938133,GALNT15
16983152,SNHG18
16861887,ECH1
16791153,MDP1; NEDD8-MDP1; CHMP4A
16810133,RORA
16974830,PPARGC1A
17117633,
16976894,LOC100506253
16819181,OGFOD1
17059451,ABCB4
16904917,FASTKD1
16664569,CDKN2C
16740950,
16808296,
16808338,
16887179,CERS6
16977094,SCARB2
17055863,TRA2A
16966712,DANCR
16961872,CCDC39
17123936,
16883498,NPAS2
16824078,
16874156,GYS1
16698521,SLC45A3
16884967,DBI
16938322,UBE2E2
17016221,FAM65B
16809929,SLTM
16884554,NT5DC4
16695284,DCAF8
16681082,ICMT
17068367,
16829464,
16704977,PRKG1
17074914,MSR1
16953012,PRSS42
16668439,AHCYL1
16938761,
16915448,FAM217B
16731441,ZBTB16
17004551,RREB1
16771463,ANAPC5
16731225,BCO2
16824060,
16771045,
16783944,KLHDC2
17123472,
17125246,
17060543,
17089198,RALGPS1
16971167,SMAD1
16702212,
16742454,PAK1
16735253,LOC100506258
16991164,MYOZ3
17118692,
17123206,
16817210,MIR548W
16914972,DOK5
17005167,
16808334,PPIP5K1
17031712,
17120202,
17009093,VEGFA
16766260,ATP5B
16757416,RITA1
16663773,DPH2
17027543,
17030388,
17033093,
17035213,
17037872,
17040586,
16893574,LOC101927187
16989568,NPY6R
17072159,
16717359,GOT1
17043550,MIOS
17067496,HMBOX1
16876549,TPO
16859698,ARRDC2
17072144,DEPTOR
16729838,
16975157,RELL1
16750523,PFKM
16970140,USP53
16698679,LOC105372876
17118386,FAM220CP
16763017,
16700512,LOC101927660
16732788,
16999712,P4HA2
16916858,
16811936,SCAPER
16833827,TCAP
17123772,
17001299,DPYSL3
17120960,
16835483,ATP5G1
16869034,HNRNPA1P10
16734644,OR7E12P
17118329,
16880596,MDH1
16830543,EIF4A1; SENP3; SENP3-EIF4A1
17074848,DLC1
16857402,CAPS
16686260,TMEM53
17025177,DYNLT1
16865056,MIR518C
17123876,
16989410,CATSPER3; PCBD2
17023308,HDDC2
16935228,PDGFB
16879500,PLEKHH2
16837418,SOX9
16961974,DCUN1D1
17114551,RBMX
16773507,GTF3A
17119356,
16887904,
16682835,MUL1
16760940,LOC105369644; LOC105369646
16976300,TECRL
17044056,SP4
16978969,PLA2G12A; CASP6
17009918,PTP4A1
17101010,
16986810,CKMT2
16899846,IMMT
16909814,LOC401037
17022616,
17095772,
16789330,LOC105370689
16663931,C1orf228
16938061,CAPN7
17099565,TMEM8C
17044382,MPP6
17126286,
16681611,SRM
17075360,
17062971,
16804804,IQGAP1
16769804,
16708161,ENTPD7; CUTC
16741314,MRPL21
16963113,APOD
16859481,MRPL34
16751319,SCN8A
17025609,MPC1
17067170,BNIP3L
16829508,TIMM22
17052607,TRBV7-1
16982047,ACSL1
17121356,
17083595,TYRP1
17105321,TNMD
16687618,DHCR24
16814498,METRN
16840006,UBE2G1
16838268,LOC105371909
16748707,RERG-AS1
16874225,CGB7; NTF4
16711517,LOC101928080
16682485,MIR1290
16819653,MMP15
16761726,PLBD1
16714536,IPMK
17092490,NFIB
17019683,LOC102725160
17051189,
16744020,ALKBH8
17050171,HBP1
16942511,KBTBD8
16729684,TMEM126A
16731044,LOC105369492
16850954,
17117636,RPS6KA5
16965051,LOC105374476
16926148,U2AF1; U2AF1L5
16960640,
16956486,LINC00971
16972070,LOC101928081
16663694,ST3GAL3
17025477,DKFZp451B082
17120938,
17020918,COX7A2
16838879,MRPL12
17125186,
16730268,AMOTL1
16684812,RNF19B
16879581,PPM1B
16949365,EIF4A2
16855184,ACAA2
16956983,CBLB
16707409,BTAF1
17019698,RCAN2
16848405,SOX9-AS1
17075973,DUSP4
16848219,ABCA6
16825292,
16742124,CHRDL2
16960271,HLTF
16796998,CKB
16669783,NOTCH2NL
16864883,ZNF808; RPL39P34
16912127,LOC105372578
16764783,
17121472,
16818610,GPT2
16692955,SEMA6C
16830302,ACADVL
17097308,PTBP3
16701139,PLD5
16774679,ITM2B
16931918,GAB4
16938933,
16919547,SLPI
17106526,LONRF3
16789955,RPPH1
16851964,ELP2
16768006,MIR618
16959061,TMCC1
17007996,SRSF3
16924147,BAGE2
16947087,
16707601,LGI1
16676754,
16681408,SLC2A5
17022887,HS3ST5
16839425,SLC43A2
16786607,JDP2
17118030,SEPT11
16796577,LOC105370655
17081854,LOC105375790; LOC401480
16829526,
16825097,NDUFAB1
16693718,
16709128,DUSP5
16674267,TEX35
16716499,NUDT9P1
16775732,SLITRK5
16730819,ACAT1
17055140,COL28A1
16677789,BROX
16966074,WDR19
16691877,RNU1-13P
16692446,RNU1-13P
16965338,MED28
16732360,
16691327,NGF
16913572,SNORA60
17058770,
16715241,PSAP
16746591,WNK1
16800707,SEMA6D
16783038,
17006361,C6orf136
17120450,
16831285,COX10
16666055,CTH
16694237,YY1AP1
16712934,MIR604
16873313,ERCC1
16875599,TNNT1
17125196,
17107389,LOC728660
16842472,TMEM11
17121406,
16931040,PARVB
16684087,
16931942,CECR5
16717452,ERLIN1
17063507,KDM7A
17013174,AIG1
16909520,SNORA75
17114736,
16703220,MSRB2
17042704,
16659686,RSC1A1; DDI2
16728788,P2RY6
16839443,
16827227,RRAD
16704690,WDFY4
16724607,NDUFS3
16914509,NCOA3
16852570,
16952423,XIRP1
16991329,MFAP3
16872223,
16692632,HIST2H2BE
16800702,
17119264,
17124328,
17018497,FKBP5
17021911,COQ3
16950337,
16744524,USP28
17117899,
17119730,
16821672,LOC102724344
16923580,
17124904,
16665006,MROH7; TTC4; MROH7-TTC4
16818488,TP53TG3B; TP53TG3C; TP53TG3; TP53TG3F
16888786,C2orf88
16736798,BBOX1-AS1
16880648,LOC100507006
16842834,FLOT2
16944568,FBXO40
16746379,NCAPD3
17079317,TP53INP1
16885755,CCDC74A
17046586,SNORA22
16946762,GYG1
16746217,
16955822,ADAMTS9
17094659,
17118988,
17094876,ZFAND5
16859330,TMEM38A
16831098,
17057066,COA1
16922241,
16755597,
17024578,PPIL4
17068956,MRPL15
16688195,LINC01359
17119482,
16984542,MRPS30
17000724,HBEGF
16953024,MYL3
16941560,STAB1
16770344,HECTD4
17046781,AUTS2
17110276,
16822105,SPIRE2
16865984,ZNF805
17120094,
16949689,ATP13A5-AS1
16805394,
17065564,LOC101929128
17108531,FUNDC2
16853855,
16696013,CREG1
16912520,POFUT1; MIR1825
17085073,
16933429,
17117533,ZBTB16
16981979,IRF2
16919225,SNORA71A
16668033,FNDC7
16801206,
16757088,
17107159,CT45A1
16824548,
16918132,NANP
16677324,FLVCR1
16886165,LOC105373645
16768909,
16773034,IL17D
16940451,ZNF589
17079910,KLF10
16841340,MYH2
16971943,ETFDH
17000168,CXCL14
16846849,COX11
16788701,SNORD114-30
16727538,RBM14; RBM4; RBM14-RBM4
17125306,
17125750,
16741501,DHCR7
17105524,ARMCX3
16711795,MIR548AK
16913198,ROMO1
16817090,RBBP6
17066694,PDLIM2
16892288,CHRND
16850021,MAFG; SIRT7
16797103,C14orf2
17092875,IFNE
16961788,
17094453,LOC286297; LOC101928195; LOC102724904; LOC102724580; LOC100133920
17062808,
17054436,
16888169,PLEKHA3
16908154,PECR
16855340,SNORA37
16746867,RHNO1
16863974,SNRNP70
17025487,CAHM
16836072,LUC7L3
16960618,TMEM14EP
16960622,LOC105374163
16869660,NDUFB7
16781573,ANG; RNASE4
16682042,UQCRHL
16804062,TM6SF1
16951046,GRIP2
16665588,ROR1
16928105,LOC100652871
17120092,
16681210,KLHL21
16990483,ARHGAP26
16811739,COX5A
16974493,LOC105374500
16700125,LOC105373122
17077525,CA8
16918023,ACSS1
16783644,PNN
16784576,
17041253,
17017872,BTNL2
17125286,
17118780,
16678159,C1orf95
16763213,
16795226,SNW1
16712168,CUBN
17088124,HSDL2
16960807,CCNL1
16861064,LOC102723617
16745658,SIAE
16929006,SLC35E4
16918918,LINC00657
16775389,LOC101927121
17077774,PDE7A
16828762,HSDL1
16744430,PLET1
17113725,LAMP2
17123894,
16868793,CDKN2D
17079908,
17080939,LOC105375742
17119742,
16847795,TEX2
17081518,MIR30D
16816895,
16824899,
16824980,
16772733,GOLGA3
16963519,BDH1
16756507,LOC105369964
16667801,RNPC3
16998515,LOC100133050
17015240,ECI2
17056098,HOXA1
16816660,TMEM159
17078539,ZNF704
16922130,
16700737,ARID4B
16976319,
16744949,SCN4B
16958692,C3orf22
17092579,TTC39B
16970096,METTL14
17043822,BZW2
17012045,
16810564,OAZ2
16663051,ZFP69B
17041700,
16870978,ZNF675
16974588,TAPT1
16973708,MXD4; MIR4800
16951567,THRB
16751928,HOXC6; HOXC4; HOXC5
16829638,SGSM2
16960075,PAQR9
16702175,PFKFB3
17051286,FLNC
17125178,
17122464,
16718500,NRAP
17113488,
17083319,JAK2
16667644,RTCA
16837326,PRKAR1A
16736847,LIN7C
16777384,SACS
16779341,NEK5
16741902,
16715642,NDST2
17024448,FBXO30
16945868,
17117670,GS52
16704581,CTSLP2
16713813,CTSLP2
16758879,BRI3BP; THRIL
16850041,MYADML2; PYCR1
17007417,HCG25
17028466,
17031280,
17033765,
17036029,
17041336,
16760066,
16729362,MYO7A
17120722,
17011302,AIM1
17121128,
16771624,
17062945,LINC-PINT
16665176,LOC105378744
16682487,IFFO2
16971463,
16976630,CSN2
17081447,ST3GAL1
16987046,TMEM161B-AS1
16869006,ECSIT
17121280,
17121726,
16808725,
16877404,
16954947,ITIH4
16718903,SFXN4
16709050,
16724901,ZDHHC5
16833304,UNC45B
16870901,ZNF728
16958667,UROC1
16687980,NFIA-AS1
17085942,LOC105376086
16876777,RNF144A
16773556,PAN3
16993458,SQSTM1
17022093,LOC105377918
17120098,
16895344,DNMT3A
16972249,PALLD
16766093,STAT2
16715734,DUPD1
16938342,
16856350,CNN2
16725841,SCGB1D2
16862333,SNRPA
16852573,NEDD4L
17000077,
16916605,CPXM1
16788685,SNORD114-22
16947020,
16980762,SFRP2
17124640,
17010782,HTR1E
16669011,
16952639,HIGD1A
16660392,LOC100506801
16689706,BCAR3
16865935,ZNF470
16801669,LOC102724790
16959441,AMOTL2
16757826,
17074503,
16975737,CNGA1
16916667,DDRGK1
16866221,ZNF274
16762337,BCAT1
16859763,IFI30
16916439,NSFL1C
16687726,LOC105378742
16815815,NUBP1
16965148,
17056190,
16884187,SH3RF3
16797555,IGHM; IGHV3-48; IGHA1; IGH
16805787,LOC105371030
16664608,
16700713,SNORA14B
17121892,
17025209,OSTCP1
16864873,ZNF578
16925668,
16981079,NAF1
17069240,LOC105375859
16827759,
16673251,MGST3
16798570,HERC2P9
16692846,CTSK
16762332,LINC00477
17111874,SNX12
16784582,AP5M1
16695189,CFAP45
16986888,LOC105379050
16770114,PPTC7
16903186,LRP1B
16924151,BAGE2
16734912,UBQLNL; OLFM5P
17119056,
16824193,NPIPA5; NPIPA1
16777356,
17092300,
16716140,LINC01519
16802316,C15orf61
16894040,
17052237,
16883322,
16876303,PNRC2
17114324,MIR542
16966649,DCUN1D4
16767756,NAP1L1
16815670,RBFOX1
16727384,
16828622,CMC2
16871411,TMEM147-AS1
17121152,
17097955,C5
16919962,SULF2
16902195,
17020703,LOC105369204
17047086,MIR590
16919229,SNORA71D
16819325,HERPUD1
16979864,
16766051,PAN2
16780069,SPRY2
16844674,KRT31
16929509,HMGXB4
17118852,
16843049,SSH2
17096728,ABCA1
17087633,ZNF189
16689420,LOC105378844
16850797,RAB12
16916574,IDH3B
16920147,
16886818,TANC1
16873344,OPA3
16814791,MAPK8IP3
17014562,QKI
17097813,CDK5RAP2
16994158,LOC105374638
16870394,LRRC25
16790875,MYH7
16873977,
17028857,
17036357,
16755904,
16706321,ZNF503-AS1
16948058,LOC105374224
16870453,COMP
16670138,GJA8
16787669,TMEM251
16888232,UBE2E3
17121372,
17121162,
16946787,HPS3
17057839,
16749895,ALG10B
17117752,
17121364,
16860639,CEBPA-AS1
17051472,
17082487,SHARPIN
17050497,MDFIC
16665923,
17124766,
16877860,HADHB
16983286,TRIO
16666657,DNASE2B
17041209,
16665266,FGGY
16895111,LOC105374325
16771678,
16706238,ADK
16865818,NLRP5
16819578,DRC7
17118222,
16823493,SRL
16853042,TIMM21
16802791,ADPGK-AS1
17121686,
16905013,TLK1
17060677,TFR2
17121124,
17124252,
17058458,
16908711,TUBA4A
16776706,
17028837,
16916515,SIRPG
16727363,CNIH2
16997931,LINC00461; MIR9-2
17121292,
16907038,
16927718,BMS1P20; IGLV1-51; IGLV5-52
16848793,SLC25A19
16772583,
16937475,CRELD1
16924405,
17009787,LOC101930010
16807511,PPP1R14D
16808433,PIN4P1
17056198,
17121324,
16878994,RASGRP3
16826767,CIAPIN1
16693109,POGZ
17034090,
16908557,NHEJ1
17126288,
17002304,RNF145
16902726,CCDC74B
16917635,
16989448,
16844996,ZNF385C
16870387,LSM4
17100871,
16821330,PLCG2
16987970,STARD4-AS1
16827626,
17017363,LY6G6C
17029219,
17032004,
17034474,
17036722,
17042000,
16839462,RILP
17076861,CEBPD
16661508,SMPDL3B
17099799,UBAC1
16989547,
17074425,
16821835,SNAI3-AS1
16988913,
16720085,IFITM1; IFITM2
16938973,C3orf35
16687899,HSD52
16789605,
17025973,LOC105378151
16788170,
16793901,MAX
17001501,
17061372,
17104217,ZXDB
16910728,SIRPA
17119902,
16938935,GOLGA4
16707047,PTEN
17044726,
16689869,F3
16778715,TPT1
16907130,CLK1; PPIL3
17065525,ERI1
16736526,
17105939,RNF128
16794295,ADAM21P1
17126262,
16896650,SRSF7
16804157,LOC440300; LOC102724191
16918569,GGT7
16756202,EID3
16784909,PPM1A
17042681,FAM20C
16690019,PLPPR5
16716918,BLNK
17120932,
17020823,SLC17A5
16703979,LOC102724509
16966727,LINC01618
16757178,ALDH2
16734097,SLC25A22
17092309,
17087057,C9orf3
16942458,ADAMTS9-AS2
16907548,NDUFS1
17018425,TAF11
16948209,PIK3CA
16892858,
16798496,GABRG3
17023758,SLC18B1
17039133,
16841575,
17010517,MEI4
16853234,ATP9B
16886864,MARCH7
16741075,CDK2AP2
16801995,TRIP4
17041780,
17125070,
16777873,TEX26-AS1
16913315,DLGAP4
16914812,CEBPB
17084882,CLTA
16861890,ECH1
16863521,ARHGAP35
16714845,LOC105378333
16763964,SNORA2C; MIR1291
16906471,MSTN
16917114,TMX4
16912846,ACTL10
16673517,LOC105371606
16681992,LOC101927441
16683925,SLC9A1
16821919,LINC00304
16832350,KSR1
16877332,FAM84A
16790917,MIR208B
16681304,ERRFI1
16899004,PRADC1
16780271,ABCC4
16708007,ANKRD2
16731169,DLAT
16989683,KDM3B
16838073,AANAT
16950470,SRGAP3
16759350,ULK1
16828540,
16775668,LINC00382
16718779,EMX2OS
16986351,IQGAP2
17125778,
17125252,
16885526,IMP4
16690518,LOC105378892
16821614,COX4I1
16922222,IFNAR2
17092674,LOC105369293
16672847,TOMM40L
16884790,
16988728,MEGF10
16706546,NUTM2B
17096658,TMEM246
16924145,BAGE2
17080788,FBXO32
16765697,ITGA7
17106511,ZCCHC12
16833345,AP2B1
16829758,EMC6
17020483,LINC00680; GUSBP1; GUSBP4
16961501,TNIK
17124124,
16905196,
16681316,
16677604,LOC101929713
16773662,ALOX5AP
17051236,CALU
17015802,LOC101928354
17000000,SKP1
16829728,ASPA
16993138,B4GALT7
16714526,
16910580,DEFB127
16780045,
16788699,SNORD114-29
16822868,MSRB1
16984471,NIM1K
17070665,DECR1
16874568,JOSD2
17122526,
16805663,ASB7
17050759,
17056310,FKBP14
17093681,FAM166B
16757621,
17044769,
16814854,NDUFB10
16761776,LOC105369669
16744569,
16769362,NT5DC3
16884301,
16998463,CHD1
17046181,LANCL2
16788620,SNORD114-3
17056010,LOC646588
17050941,
17120582,
16705277,ANXA2P3
16887055,
16912107,
17118660,
16680236,DVL1
16883205,COX5B
16766215,BAZ2A
16887694,
16765469,HOXC-AS2
16917082,
17058905,YWHAG
16668420,CSF1
16706350,C10orf11
16834302,ATP6V0A1
16726183,COX8A
16671045,LCE2B
17118690,
16913063,MIR499A
16676150,BTG2
16688330,
16968356,BMP3
16864181,RCN3
16891152,ZFAND2B
17087768,NIPSNAP3B
16966885,
17118500,
17118508,
16911334,
16944926,
16772061,DNAH10OS
16922243,IL10RB
17066243,
16939838,MIR138-1
16761423,YBX3
16764455,BCDIN3D
17096704,LOC105376193
17048246,AKAP9
16934342,
16801299,C15orf65
16772821,
17100860,
16852789,PHLPP1
17065017,VIPR2
16850759,PTPRM
16826985,GOT2
16915070,FAM209B
17033894,
16840018,MYBBP1A
16735256,LOC105376535
16706849,LDB3
16954817,TNNC1
16675558,NEK7
16761319,
17120150,
16686611,LRRC41
16711280,KLF6
17089119,PBX3
16854837,
16723786,LOC105376635
16968077,CCNG2
16727995,NDUFS8
16953568,UQCRC1
16811420,CELF6
16759676,ZNF10
17023810,SGK1
17100390,TMEM203
17021628,MDN1
16794268,SLC10A1
16950840,MKRN2OS
17044793,MIR550A1
17058271,
16712936,MIR938
16854683,ZNF24
16850920,
16828400,LDHD
16685246,LSM10
17068000,LOC105379382
16754711,MYF6
16985277,PPWD1
17107512,LOC101928832
17102792,GPR34
16775146,
16995204,
16899634,RETSAT
16762470,BHLHE41
16845077,GHDC
17084025,LINC01239
16749382,MED21
16694357,SNORA80E
16847676,GH2
16714099,FAM170B
17118720,
16947061,MBNL1
16849298,MXRA7
16666296,MSH4; RABGGTB
17046135,EGFR
16880372,
16966855,KIT
17025256,LOC401281; LOC105378085
16734313,CTSD
16918294,TSPY26P
17055182,LOC101927391
17019335,
17002052,FAXDC2
16888674,WDR75
16697292,
16747077,NDUFA9
17122198,
17051943,TMEM140
16919804,SLC35C2
16840145,SLC25A11
17022943,TSPYL1
16840587,CTDNEP1
16739833,
16894235,KIDINS220
16855358,CCDC68
16846587,COL1A1
16697748,
16768948,ANKS1B
17064417,GBX1
17019543,LOC101929705
16909528,LINC00471
16896579,ATL2
16859132,CYP4F3
16810888,MEGF11
17095703,NFIL3
16778053,LINC00457
16677923,
17078863,DCAF4L2
17012711,SNORA33
17085236,CBWD5; CBWD4P; CBWD3
16736453,SAA2; SAA2-SAA4; SAA4
16893056,KLHL30
16894584,
16678536,RAB4A; SPHAR
16947103,
16905590,FKBP7
16696363,MYOC
16682044,FLJ37453
17114310,MIR19B2
16899335,AUP1
17099748,LOC105376316
17120580,
17044423,CBX3
16966459,GUF1
16793346,
16946260,LOC100507291
16684000,FCN3
16836624,MIR21; VMP1
16675874,SHISA4
17110817,PRICKLE3
16911593,
16992662,
17123176,
16749656,DDX11
16955291,ARHGEF3
17124806,
17098184,MIR600HG; STRBP
17089667,ODF2
16743222,CHORDC1
16722189,TEAD1
16832566,SNORD42A; RPL23A
16709037,LOC102724439
17122594,
17119758,
16764617,
16708552,NOLC1
16719868,CALY
17093031,MOB3B
16663094,NFYC
16687264,COA7
16973758,TNIP2
16946328,
17084413,
16779056,LINC00462
16969658,SEC24B
16662566,THRAP3
16740539,AP5B1
17073890,GPT
16852369,SMAD4
16744408,TIMM8B
16809650,PYGO1
16914573,LINC01523
16899711,TMEM150A
16933627,
16937201,SETD5
16870600,TM6SF2
17014251,
16903966,LOC105373713
16959981,
16790059,TMEM55B
16984365,GHR
17121132,
16708511,MIR3158-1
16788610,SNORD113-7
16866686,ADAMTSL5
16706894,
16678320,MIR3620; ARF1
16757873,SIRT4
17104706,TAF1
16821398,HSBP1
16699053,
17061879,
16808298,
17063656,MRPS33
17015331,F13A1
17122412,
16666135,
